group,setting,seed,audio,visual,audio_visual,av_temporal,overall,overall_correct,overall_total,checkpoint,sha256
three_seed,QAST-EHR w/o SCM,713,76.16387337057728,85.92072667217175,73.70486656200941,70.43795620437956,77.37977872713331,7064,9129,D:\model\qast_ehr_ablation_without_scm_seed713\2026-09-19-13-43-55_seed713\best.pt,be9695ae4557a6cc5e607dc84550b2b6764be741cccfe0e57a83ab37a55054cb
three_seed,QAST-EHR w/o SCM,123,76.35009310986965,86.04459124690338,73.01805337519623,70.92457420924575,77.06210976010516,7035,9129,D:\model\qast_ehr_ablation_without_scm_seed123\2026-09-20-10-08-45_seed123\best.pt,6cefb53cb7fa832c518716e4069822c7e39bf65d6588e7c35f9d477a85c9f17c
three_seed,QAST-EHR w/o SCM,456,76.35009310986965,86.41618497109826,73.4105180533752,71.41119221411192,77.37977872713331,7064,9129,D:\model\qast_ehr_ablation_without_scm_seed456\2026-09-20-11-34-24_seed456\best.pt,373ccdf49ebbae8e2e3c637427de055d8f4d3ec09553feced9d965e1290b49c4
primary_component_ablation,without_cmg,713,76.03972687771571,85.63170933113129,72.66483516483517,69.4647201946472,76.70062438383175,,9129,D:\model\qast_ehr_ablation_without_cmg_seed713\2026-09-19-11-37-43_seed713\best.pt,5be05afb17bbab5048f372c4a887333dd90702fd15b9692973debb96bc9d7863
primary_component_ablation,without_scm,713,76.16387337057728,85.92072667217175,73.70486656200941,70.43795620437956,77.37977872713331,,9129,D:\model\qast_ehr_ablation_without_scm_seed713\2026-09-19-13-43-55_seed713\best.pt,be9695ae4557a6cc5e607dc84550b2b6764be741cccfe0e57a83ab37a55054cb
primary_component_ablation,without_adaptive_position,713,76.16387337057728,84.88852188274154,73.60675039246468,70.92457420924575,77.05115565779384,,9129,D:\model\qast_ehr_ablation_without_adaptive_position_seed713\2026-09-19-15-43-05_seed713\best.pt,05188080ce49a329a4c9e8cf5ef3a284f91dfd5b080cc3a34fc24eba45d32ab0
primary_component_ablation,without_patch_grounder,713,77.28119180633148,85.05367464905036,73.09654631083203,70.92457420924575,77.00733924854858,,9129,D:\model\qast_ehr_ablation_without_patch_grounder_seed713\2026-09-19-17-43-24_seed713\best.pt,2e83d3bdb9879f92ea27698221f38a1674aed810d2882afd2e5f045081858178
scm_baseline_component_ablation,without_scm_baseline,713,76.16387337057728,85.92072667217175,73.70486656200941,70.43795620437956,77.37977872713331,,9129,D:\model\qast_ehr_ablation_without_scm_seed713\2026-09-19-13-43-55_seed713\best.pt,be9695ae4557a6cc5e607dc84550b2b6764be741cccfe0e57a83ab37a55054cb
scm_baseline_component_ablation,scm_baseline_without_cmg,713,76.53631284916202,85.54913294797687,72.2723704866562,69.34306569343066,76.54726695147333,,9129,D:\model\qast_ehr_scm_baseline_without_cmg_seed713\2026-09-20-00-05-43_seed713\best.pt,7995bda332e034dd1610080374ce3c40a666e53889adf08d281edecafb2cd242
scm_baseline_component_ablation,scm_baseline_without_adaptive_position,713,76.35009310986965,85.75557390586292,72.88069073783359,69.95133819951339,76.90875232774674,,9129,D:\model\qast_ehr_scm_baseline_without_adaptive_position_seed713\2026-09-20-01-44-18_seed713\best.pt,bcfad449143102892563d2d91726a1a2fdb4a4ff443c37bc8fdd7c5a9c94dd2c
scm_baseline_component_ablation,scm_baseline_without_patch_grounder,713,76.22594661700806,84.64079273327829,72.54709576138147,69.7080291970803,76.40486362142623,,9129,D:\model\qast_ehr_scm_baseline_without_patch_grounder_seed713\2026-09-20-03-02-12_seed713\best.pt,613ed7f298bcf623c8c566ea8bb568d8f0a55f115a59c761929ce61dd1881bda
auxiliary_loss_ablation,w/o TACL,713,76.84667908131595,85.87943848059454,72.70408163265306,69.4647201946472,76.93066053236937,,9129,D:\model\qast_ehr_ablation_without_tacl_seed713\2026-09-20-13-38-35_seed713\best.pt,c4f218430d3b121239f33bbd9f594f24b6a26302d3e898292d695e089282ac81
auxiliary_loss_ablation,w/o SACL,713,76.47423960273122,85.96201486374896,73.19466248037676,70.92457420924575,77.160696680907,,9129,D:\model\qast_ehr_ablation_without_sacl_seed713\2026-09-20-15-14-12_seed713\best.pt,507e8f04c029ccc2fde151a6dcf1557ed02b6d35e2dbe1b8ef99aa491792d975
